ID,URL,BRAND,ITEM,DISCOUNTED PRICE,MRP,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS
218,http://flipkart.com/roadster-solid-men-polo-neck-white-t-shirt/p/itmfbtamgwupp7dh?pid=TSHFBQJZEDJ9Q8XZ&lid=LSTTSHFBQJZEDJ9Q8XZVUKYNZ&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_226&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHFBQJZEDJ9Q8XZ.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,Roadster ,Solid Men Polo Neck White T-Shirt,₹497,₹999,4.1,118,12,"['Very good product', 'Very poor fabric quality.', 'It’s a good one. Go for it without any hesitation.']"
219,http://flipkart.com/eyebogler-printed-men-hooded-neck-black-t-shirt/p/itm1874822d32f43?pid=TSHG8ZDEF76R6YGZ&lid=LSTTSHG8ZDEF76R6YGZB6NYKT&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_227&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHG8ZDEF76R6YGZ.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,Eyebogler ,Printed Men Hooded Neck Black T-Shirt,₹299,"₹1,299",4.1,1671,144,"['Nice Product At This Price. Colour Is Also Good. Quality Is Also Better Than Others. So U Can Buy It.', 'Super', 'Nice material, good look']"
220,http://flipkart.com/jack-jones-solid-men-polo-neck-blue-t-shirt/p/itm2ddf48ffc777c?pid=TSHFVHQD5DKSDVUF&lid=LSTTSHFVHQD5DKSDVUFKGMCT0&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_228&otracker=browse&fm=organic&iid=en_0LgL6xnhq0Cd7tJLWT9OYPKXaT02i3ReBR9SunOMtdZW876ur1bPsoMDDpK4l9lu9Jf6cBCfXlR0bsNFoEtGcA%3D%3D&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,JACK & JONES ,Solid Men Polo Neck Blue T-Shirt,₹599,"₹1,499",4,4247,383,"['My husband loved it', 'After a single wash the material was getting elongated..', 'Perfect fitting and very good product.']"
221,http://flipkart.com/tripr-solid-men-mandarin-collar-red-black-t-shirt/p/itmaf78cd59eb90b?pid=TSHGCCNVQND2YUCD&lid=LSTTSHGCCNVQND2YUCDZKPTGP&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_229&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHGCCNVQND2YUCD.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,TRIPR ,"Solid Men Mandarin Collar Red, Black T-Shirt",₹332,"₹1,999",3.9,60983,5822,"['nice products', 'Good product 👍🏻', 'Wow Superb nice Colour']"
222,http://flipkart.com/bullmer-printed-men-round-neck-multicolor-t-shirt/p/itmd16a068366637?pid=TSHFSBS5FTFMSQTH&lid=LSTTSHFSBS5FTFMSQTHEFRAJA&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_230&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHFSBS5FTFMSQTH.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,Bullmer ,Pack of 3 Printed Men Round Neck Multicolor T-Shirt,₹499,"₹1,499",3.9,2295,324,"['Nice', 'I bought this for my brother its totally awesome same colour quality of tea shirts are best', 'Nice T-shirts I liked it very much.']"
223,http://flipkart.com/trends-tower-solid-men-round-neck-maroon-t-shirt/p/itmf7fvxehz7raar?pid=TSHF7FPGS8GUKYZH&lid=LSTTSHF7FPGS8GUKYZH4IDXRA&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_231&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHF7FPGS8GUKYZH.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,Trends Tower ,Solid Men Round Neck Maroon T-Shirt,₹234,₹799,4,19078,1959,"['Fabulous.must buy', 'Nice product', 'Very good product 👍👍👍']"
224,http://flipkart.com/louis-philippe-sport-solid-men-polo-neck-dark-blue-t-shirt/p/itmcd0a8df726e6b?pid=TSHG2QYYH93KHZDZ&lid=LSTTSHG2QYYH93KHZDZNGHYNC&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_232&otracker=browse&fm=organic&iid=en_0LgL6xnhq0Cd7tJLWT9OYPKXaT02i3ReBR9SunOMtdYvxlEffv%2B9SB4PXwj0MdP5IYVYpAPKSqRGWiHAAPbrzQ%3D%3D&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,Louis Philippe Sport ,Solid Men Polo Neck Dark Blue T-Shirt,₹659,"₹1,199",4.1,14974,1286,"['The colour is just an awesome combination of maroon and coffee...and the fit is also perfect for me. It is 60% cotton, 40% spandex. Thank you flipkart for fast delivery.', 'Comfortable product', 'Superb 👍🏽']"
225,http://flipkart.com/roadster-solid-men-polo-neck-brown-t-shirt/p/itm94df088161820?pid=TSHG5C6XWM3XJJUF&lid=LSTTSHG5C6XWM3XJJUFMDXTPY&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_233&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHG5C6XWM3XJJUF.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,Roadster ,Solid Men Polo Neck Brown T-Shirt,₹600,"₹1,199",4.4,27,1,['Very nice 👍👍👍']
226,http://flipkart.com/eyebogler-printed-men-hooded-neck-black-t-shirt/p/itm6f8e6478f8b65?pid=TSHFZGNHMNYUJFSV&lid=LSTTSHFZGNHMNYUJFSVG4FSKI&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_234&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHFZGNHMNYUJFSV.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,Eyebogler ,Printed Men Hooded Neck Black T-Shirt,₹379,"₹1,299",4.2,11843,1055,"['Superb quality and nice product', 'I just love this product ❤Nd guys u can buy 👍', 'Nice product']"
227,http://flipkart.com/allen-solly-solid-men-polo-neck-multicolor-t-shirt/p/itmf2680e05631b6?pid=TSHGDHW7KAEVDYVT&lid=LSTTSHGDHW7KAEVDYVTTSOHJU&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_235&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHGDHW7KAEVDYVT.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,Allen Solly ,Solid Men Polo Neck Multicolor T-Shirt,₹576,"₹1,049",4.4,59,4,"['Do not think before purchase it.The best ever polo t shirt.Very light to wear.And very comfortable', 'Good quality.. same as given pic.. u can go for it', 'Very nice 👍🏽']"
