,URL,id,desc,stars,num_ratings,num_reviews,reviews,vader_score,final_score
52,http://flipkart.com/tokyo-talkies-solid-women-a-line-grey-skirt/p/itmfde259218f84c?pid=SKIGAMAQHFXK7K9S&lid=LSTSKIGAMAQHFXK7K9SCIJPPP&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_2_67&otracker=browse&fm=organic&iid=63e93b0c-dfec-4540-addd-a41ee50e7cac.SKIGAMAQHFXK7K9S.SEARCH&ppt=None&ppn=None&ssid=7lcr84u6dc0000001658754629785,52,Women Solid A-line Grey Skirt,4.3,67,6,its awesome 👌 looks good fits well over all a good buy for the price point definitely recommended good,3.5532,0.0017931242
67,http://flipkart.com/tokyo-talkies-solid-women-flared-green-skirt/p/itm21dacab56b666?pid=SKIG5YGZ8UGQGM8F&lid=LSTSKIG5YGZ8UGQGM8FFPX9J4&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_3_86&otracker=browse&fm=organic&iid=6fbd7fce-8db2-4217-acb1-1b2c2f21c44d.SKIG5YGZ8UGQGM8F.SEARCH&ppt=None&ppn=None&ssid=e00o74xhgw0000001658754630695,67,Women Solid Flared Green Skirt,4.2,83,9,skirt is good but you have to iron it whenever you wear good quality good,1.3212,0.0017058839
110,http://flipkart.com/montrez-solid-women-regular-black-skirt/p/itme0d77b3c3f40f?pid=SKIGCNG6BNV5KTUV&lid=LSTSKIGCNG6BNV5KTUVPYS0MF&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_4_141&otracker=browse&fm=organic&iid=c2e8f37a-c917-4619-a1ec-36a3b794b8a7.SKIGCNG6BNV5KTUV.SEARCH&ppt=None&ppn=None&ssid=7rw6oula680000001658754631703,110,Women Solid Regular Black Skirt,3.3,110,10,customer liked it was happy with product not bad nice,0.8726,0.0016544113
142,http://flipkart.com/montrez-solid-women-regular-blue-skirt/p/itm1c9f28d0093b7?pid=SKIGCNG6YJWDFP2R&lid=LSTSKIGCNG6YJWDFP2RTHA2NZ&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_5_179&otracker=browse&fm=organic&iid=e74ac348-ebe8-4dab-b71d-5977bd888bcf.SKIGCNG6YJWDFP2R.SEARCH&ppt=None&ppn=None&ssid=zuvmkf8rb40000001658754632960,142,Women Solid Regular Blue Skirt,3.3,110,10,customer liked it was happy with product not bad nice,0.8726,0.0016544113
252,http://flipkart.com/montrez-solid-women-regular-blue-skirt/p/itm5c3290dc82940?pid=SKIGCNG6MHDBMYSA&lid=LSTSKIGCNG6MHDBMYSAIUABUF&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_8_313&otracker=browse&fm=organic&iid=23d51186-d045-46b1-81f9-198d2c6b7bee.SKIGCNG6MHDBMYSA.SEARCH&ppt=None&ppn=None&ssid=okephamwgw0000001658754635720,252,Women Solid Regular Blue Skirt,3.3,110,10,customer liked it was happy with product not bad nice,0.8726,0.0016544113
167,http://flipkart.com/montrez-solid-women-regular-light-blue-skirt/p/itme2f27d23bec5a?pid=SKIGFHHYC7FWYH2H&lid=LSTSKIGFHHYC7FWYH2HB6ZGPB&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_6_209&otracker=browse&fm=organic&iid=2c5cc464-e9e7-42ed-b5e4-2ed0cd27636a.SKIGFHHYC7FWYH2H.SEARCH&ppt=None&ppn=None&ssid=ox1oaa7vfk0000001658754633878,167,Women Solid Regular Light Blue Skirt,3.6,107,9,as expectedgood quality of cloth and fitting was perfect price wise quality is okyyperfect thanku flipkart very very bad qaulity,0.5063,0.0015987309
282,http://flipkart.com/perfect-outlet-washed-women-pencil-blue-skirt/p/itmc6fff4b9a25fa?pid=SKIGD8NGGHBEPQVQ&lid=LSTSKIGD8NGGHBEPQVQXITWYH&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_9_350&otracker=browse&fm=organic&iid=69e239c2-1a67-45ba-9cb3-ef8a7f54c146.SKIGD8NGGHBEPQVQ.SEARCH&ppt=None&ppn=None&ssid=mby6gqd8740000001658754636747,282,Women Washed Pencil Blue Skirt,4.3,46,5,amazing productjust go for it👌👌 amazing i really loved the product first i ordered my actual size 30  it dint fit but  i liked the product quality so i exchanged size 32 received the same material and it was perfect worth the price thank you and appreciated 👍,5.1294,0.0015983185
253,http://flipkart.com/tokyo-talkies-solid-women-flared-green-skirt/p/itm66882c44c7853?pid=SKIG5ZZCWJAKETFN&lid=LSTSKIG5ZZCWJAKETFNAABDTD&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_8_314&otracker=browse&fm=organic&iid=23d51186-d045-46b1-81f9-198d2c6b7bee.SKIG5ZZCWJAKETFN.SEARCH&ppt=None&ppn=None&ssid=okephamwgw0000001658754635720,253,Women Solid Flared Green Skirt,3.8,111,13,,0,0.0015842135
320,http://flipkart.com/badger-winsome-solid-women-pencil-black-skirt/p/itmd05a29d7ae3ae?pid=SKIG3GKWXZ4ZAJTR&lid=LSTSKIG3GKWXZ4ZAJTR0WZ5TF&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_10_398&otracker=browse&fm=organic&iid=11ad4385-82c4-45b4-bd41-659e72e8f2aa.SKIG3GKWXZ4ZAJTR.SEARCH&ppt=None&ppn=None&ssid=hghl74woo00000001658754637716,320,Women Solid Pencil Black Skirt,3.7,86,5,excellent product  good material love it ❤️ wow product,2.2351,0.0015678487
318,http://flipkart.com/nama-fabric-printed-women-regular-black-skirt/p/itmacae5c2d4b48e?pid=SKIGBKSQZENHEH5H&lid=LSTSKIGBKSQZENHEH5H3BTZ5G&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_10_395&otracker=browse&fm=organic&iid=11ad4385-82c4-45b4-bd41-659e72e8f2aa.SKIGBKSQZENHEH5H.SEARCH&ppt=None&ppn=None&ssid=hghl74woo00000001658754637716,318,Women Printed Regular Black Skirt,3.7,72,7,nice product loved it good and cloth is also good as per the image quality not good,2.3421,0.0015473740
