,URL,id,desc,stars,num_ratings,num_reviews,reviews,vader_score,final_score
305,http://flipkart.com/metro-fashion-women-maxi-black-white-dress/p/itm80e052ee3aab5?pid=DREFWBN8GRRJCZ7M&lid=LSTDREFWBN8GRRJCZ7MCJEC1Y&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_9_333&otracker=browse&fm=organic&iid=5e78f7a3-22ff-4166-bd37-1a923266d9fe.DREFWBN8GRRJCZ7M.SEARCH&ppt=None&ppn=None&ssid=addztmnj2o0000001658756744894,305,"Women Maxi Black, White Dress",4.3,13037,1910,amazing dress awesome fit received this beautiful maxi dress perfect size perfect colour dress quality is really nice ive tatally satisfied with this please guys go ahead and buy this beautiful dress,5.0758,0.0511604549
212,http://flipkart.com/harpa-women-maxi-pink-dress/p/itmfh43geqxzhrgy?pid=DREFHFTH2FBE8ZNA&lid=LSTDREFHFTH2FBE8ZNAFVHN6O&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_6_233&otracker=browse&fm=organic&iid=0f40640d-1f08-4370-8215-c3638c9d9b71.DREFHFTH2FBE8ZNA.SEARCH&ppt=None&ppn=None&ssid=gbo1wgpztc0000001658756740571,212,Women Maxi Pink Dress,4.2,12172,1812,i love it❤ good quality color is little differentvery satisfied quality of this product is osm perfect size 👌 😍 comfortable to wear 😌 ☺,5.2473,0.0486019707
78,http://flipkart.com/sheetal-associates-women-bodycon-blue-dress/p/itm2bd5351d35b2c?pid=DREG49M2XKYBVDMF&lid=LSTDREG49M2XKYBVDMFT8XKLL&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_3_89&otracker=browse&fm=organic&iid=518e877b-2c85-48a1-b683-3dc7f39eb17a.DREG49M2XKYBVDMF.SEARCH&ppt=None&ppn=None&ssid=3253kt4y000000001658756736902,78,Women Bodycon Blue Dress,4.1,14793,2069,just awesome 🥰 lovely dress very beautiful dress😘,3.0391,0.0430907995
147,http://flipkart.com/harpa-women-fit-flare-multicolor-dress/p/itmf3vcqydgyzgzr?pid=DREEHRXUYRQY2GGE&lid=LSTDREEHRXUYRQY2GGEFOMMMW&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_163&otracker=browse&fm=organic&iid=9db22210-7319-4f31-8a7d-13cb2f0edf9f.DREEHRXUYRQY2GGE.SEARCH&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,147,Women Fit and Flare Multicolor Dress,4.1,15424,2178,im in love with this dress go for it guys without the second thought thanks to you flipkart❤ very nice nice,2.5572,0.0420497113
146,http://flipkart.com/purshottam-wala-women-fit-flare-black-dress/p/itm577778dd99170?pid=DREFVECYFVDZGUZF&lid=LSTDREFVECYFVDZGUZF9Z8EKT&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_162&otracker=browse&fm=organic&iid=9db22210-7319-4f31-8a7d-13cb2f0edf9f.DREFVECYFVDZGUZF.SEARCH&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,146,Women Fit and Flare Black Dress,4.1,14340,1698,nice product awesome fabric good product love it woww beautiful 🥰😘💋❤️❤️❤️❤️❤️❤️❤️,3.64,0.0420204072
16,http://flipkart.com/aayu-women-maxi-maroon-dress/p/itmfg5uptjqrzwjq?pid=DREFFE74V9VH8HMG&lid=LSTDREFFE74V9VH8HMGY6Z9WO&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_19&otracker=browse&fm=organic&iid=9f4db607-5fab-4c8e-8f54-49bcaf7d2f85.DREFFE74V9VH8HMG.SEARCH&ppt=None&ppn=None&ssid=935ax4ah8g0000001658756734118,16,Women Maxi Maroon Dress,4.2,12184,2012,osm product good quality nice product👍👍👍 good i like ❤,2.3004,0.0343813338
65,http://flipkart.com/aayu-women-maxi-black-dress/p/itmf3vcns3yvhrg4?pid=DREFFE74ZP7ZQDHY&lid=LSTDREFFE74ZP7ZQDHYZM7FKI&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_2_74&otracker=browse&fm=organic&iid=4f187e50-412d-4000-b0b3-491b071904b8.DREFFE74ZP7ZQDHY.SEARCH&ppt=None&ppn=None&ssid=ulr3gqi0ls0000001658756735101,65,Women Maxi Black Dress,4.2,12184,2012,osm product good quality nice product👍👍👍 good i like ❤,2.3004,0.0343813338
4,http://flipkart.com/purshottam-wala-women-maxi-black-dress/p/itmd1036842af9e2?pid=DREG62QVKAJQKCFW&lid=LSTDREG62QVKAJQKCFWOQWTFN&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_5&otracker=browse&fm=organic&iid=9f4db607-5fab-4c8e-8f54-49bcaf7d2f85.DREG62QVKAJQKCFW.SEARCH&ppt=None&ppn=None&ssid=935ax4ah8g0000001658756734118,4,Women Maxi Black Dress,4.2,12918,1512,awsm n comfortable 🌝👌🏻 beautiful im really satisfied with this dress  im obsessed 😍i would highly recommend you to boy this dress ❤️🔥,2.5633,0.0334421099
172,http://flipkart.com/purshottam-wala-women-maxi-blue-dress/p/itm27bdfaac8595f?pid=DREGCHWYJ3VHVYQ2&lid=LSTDREGCHWYJ3VHVYQ2IUGECO&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_189&otracker=browse&fm=organic&iid=9db22210-7319-4f31-8a7d-13cb2f0edf9f.DREGCHWYJ3VHVYQ2.SEARCH&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,172,Women Maxi Blue Dress,4.2,12918,1512,awsm n comfortable 🌝👌🏻 beautiful im really satisfied with this dress  im obsessed 😍i would highly recommend you to boy this dress ❤️🔥,2.5633,0.0334421099
342,http://flipkart.com/vskin-women-fit-flare-blue-dress/p/itm7809ce9191dbb?pid=DREGYM8JJTGNYWPY&lid=LSTDREGYM8JJTGNYWPYP7HRYH&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_10_373&otracker=browse&fm=organic&iid=059e3c9c-55a2-4fb4-b8bb-8450b82447a7.DREGYM8JJTGNYWPY.SEARCH&ppt=None&ppn=None&ssid=7rgz4b6q000000001658756745981,342,Women Fit and Flare Blue Dress,4,11487,1423,amazing dress i just love it so much perfect fitting and very comfortable luved it must buy❣️❣️❣️,3.2327,0.0321676094
