ID,URL,BRAND,ITEM,DISCOUNTED PRICE,MRP,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS
87,http://flipkart.com/sassafras-women-a-line-blue-dress/p/itmfby5bwapft2dh?pid=DREFBYFJP6SGX2ZD&lid=LSTDREFBYFJP6SGX2ZDAC7HY1&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_3_98&otracker=browse&fm=organic&iid=518e877b-2c85-48a1-b683-3dc7f39eb17a.DREFBYFJP6SGX2ZD.SEARCH&ppt=None&ppn=None&ssid=3253kt4y000000001658756736902,SASSAFRAS ,Women A-line Blue Dress,₹556,"₹1,599",4.2,440,52,"['Love it..👌👌👌', 'amazing', 'not too good 😒']"
88,http://flipkart.com/selvia-women-bodycon-dark-blue-dress/p/itm0f3e3476d8870?pid=DREGYFH8WMUMZBEJ&lid=LSTDREGYFH8WMUMZBEJ6GFLZW&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_3_99&otracker=browse&fm=organic&iid=518e877b-2c85-48a1-b683-3dc7f39eb17a.DREGYFH8WMUMZBEJ.SEARCH&ppt=None&ppn=None&ssid=3253kt4y000000001658756736902,Selvia ,Women Bodycon Dark Blue Dress,₹404,"₹1,997",4.1,6548,946,"['Very nice and fully satisfied...', ""It's very nice ❤️❤️❤️ I love this dress 👗."", 'Osm product..❣️']"
89,http://flipkart.com/miss-chase-women-maxi-purple-dress/p/itm0db47cc0a639e?pid=DREG7AF2Z4YQDMZS&lid=LSTDREG7AF2Z4YQDMZSQA0PSP&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_3_101&otracker=browse&fm=organic&iid=518e877b-2c85-48a1-b683-3dc7f39eb17a.DREG7AF2Z4YQDMZS.SEARCH&ppt=None&ppn=None&ssid=3253kt4y000000001658756736902,Miss Chase ,Women Maxi Purple Dress,₹999,"₹2,899",4.4,8126,1297,"['I am happy with this product', 'Beautiful dress ❤️', 'Just I love it 😍👌🏻']"
90,http://flipkart.com/urbanic-women-a-line-orange-dress/p/itmea863238a2afd?pid=DREG74GZKHRWGP8E&lid=LSTDREG74GZKHRWGP8EUYZEQY&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_3_102&otracker=browse&fm=organic&iid=518e877b-2c85-48a1-b683-3dc7f39eb17a.DREG74GZKHRWGP8E.SEARCH&ppt=None&ppn=None&ssid=3253kt4y000000001658756736902,Urbanic ,Women A-line Orange Dress,₹527,"₹1,490",3.4,11,0,[]
91,http://flipkart.com/glamcci-women-fit-flare-multicolor-dress/p/itm7f71a575d58c5?pid=DREG7ZX6CSMFJ4UX&lid=LSTDREG7ZX6CSMFJ4UXNQSJRD&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_3_103&otracker=browse&fm=organic&iid=518e877b-2c85-48a1-b683-3dc7f39eb17a.DREG7ZX6CSMFJ4UX.SEARCH&ppt=None&ppn=None&ssid=3253kt4y000000001658756736902,Glamcci ,Women Fit and Flare Multicolor Dress,₹404,"₹1,299",4.1,2398,328,"['Nice', 'It is very beautiful dress 😍❤️ I loved it ❤️', 'Nise dress, 🥰🥰🥰']"
92,http://flipkart.com/sheetal-associates-women-bodycon-blue-dress/p/itm475cfd36b8035?pid=DREGCEK4CEESGXYC&lid=LSTDREGCEK4CEESGXYCBV3HGV&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_3_104&otracker=browse&fm=organic&iid=en_CPNIv7Tri7nhI1%2Fq3TgnKgeYRFTlxJyQV8BpTs26wSV%2FptPKxAh1aWHKJYYwT9BfvPq70txny7MfCbB2b4qrgw%3D%3D&ppt=None&ppn=None&ssid=3253kt4y000000001658756736902,Sheetal Associates ,Women Bodycon Blue Dress,₹449,"₹1,999",4,7,1,['Beautiful dress at this price']
93,http://flipkart.com/darzi-women-bodycon-multicolor-dress/p/itm520ebb6f8ec56?pid=DREGFEEBSNXUQXZZ&lid=LSTDREGFEEBSNXUQXZZIZ97VU&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_3_105&otracker=browse&fm=organic&iid=518e877b-2c85-48a1-b683-3dc7f39eb17a.DREGFEEBSNXUQXZZ.SEARCH&ppt=None&ppn=None&ssid=3253kt4y000000001658756736902,DARZI ,Women Bodycon Multicolor Dress,₹399,"₹1,499",4.4,21,1,['This dress is quite ok according to its rate. Cloth is little on lower quality..looks like night dress..overall good product']
94,http://flipkart.com/sheetal-associates-women-bodycon-blue-dress/p/itma8ac70fedcc4c?pid=DREG7ACTUHQGX4ZD&lid=LSTDREG7ACTUHQGX4ZDEVLH4V&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_3_106&otracker=browse&fm=organic&iid=518e877b-2c85-48a1-b683-3dc7f39eb17a.DREG7ACTUHQGX4ZD.SEARCH&ppt=None&ppn=None&ssid=3253kt4y000000001658756736902,Sheetal Associates ,Women Bodycon Blue Dress,₹349,"₹1,999",4.1,4104,480,"[""Just awesome..😍❣️I have for my birthday party...nd literally it's awesome..go for it ❣️❣️"", 'Beautiful dress 👗👗🥰', 'Amazing ✨🌹']"
95,http://flipkart.com/flying-machine-women-a-line-pink-dress/p/itm897367c1cf0c1?pid=DREGY7XJVK4YMBHP&lid=LSTDREGY7XJVK4YMBHPICYMR2&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_3_107&otracker=browse&fm=organic&iid=518e877b-2c85-48a1-b683-3dc7f39eb17a.DREGY7XJVK4YMBHP.SEARCH&ppt=None&ppn=None&ssid=3253kt4y000000001658756736902,FLYING MACHINE ,Women A-line Pink Dress,₹587,"₹2,299",3.7,73,6,"['Gd bt size is very long', 'Ok', 'Nce']"
96,http://flipkart.com/tokyo-talkies-women-a-line-grey-dress/p/itmdd982fe0583bb?pid=DREGAM3GJ3DSYKFZ&lid=LSTDREGAM3GJ3DSYKFZZ9PLHW&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_3_109&otracker=browse&fm=organic&iid=518e877b-2c85-48a1-b683-3dc7f39eb17a.DREGAM3GJ3DSYKFZ.SEARCH&ppt=None&ppn=None&ssid=3253kt4y000000001658756736902,Tokyo Talkies ,Women A-line Grey Dress,₹492,"₹1,899",4.1,77,6,"['Beautiful dress😘', 'Beautiful', 'Worth the buy..']"
